Name,Link,
New nine python libraries ,https://t.co/MXDOn77tjt,
New way to share kaggle notebooks ,https://lnkd.in/ddQABPY,
Speech recognition ,https://colab.research.google.com/drive/1aFgzrUv3udM_gNJNUoLaHIm78QHtxdIz?usp=sharing,
GCP fundamentals,https://binx.io/topic/gcp-fundamentals-training-8-june-2021/ June 8th,
Dashboard ,Google data studio,
ML ops,https://elvissaravia.substack.com/p/mlops-primer-2021,
Interactive plots ,Mode.com,
Interactive plots in spatial data,https://www.earthdatascience.org/courses/scientists-guide-to-plotting-data-in-python/plot-spatial-data/customize-raster-plots/interactive-maps/,
May in European language,http://jakubmarian.com,
New emerging python libraries ,https://buff.ly/2RDECW1,
Best practice to deploy AWS Data lake,http://bit.ly/3fmc9Mk-dremio-210514,
Understanding vectors from ml perspective ,https://t.co/U4hNq5mb8y,
How to make ml teams that deliver across industry ,https://neptune.ai/blog/how-to-build-machine-learning-teams-that-deliver,
Text OCR,https://www.paperswithcode.com/paper/textocr-towards-large-scale-end-to-end,
Cheat sheets ML,Sites.google.com/view/datascience-cheat-sheets,
Google data studio,https://towardsdatascience.com/3-essential-tips-to-start-using-google-data-studio-93334a403d11,
"Google vertex, I unified ml platform ",https://t.co/9znam24tBj,
Polars library in python ,https://github.com/FlorianWilhelm/polars_vs_pandas/blob/master/pl_vs_pd.ipynb,
Tabular data,The hague centre for strategic studies DW ,
Pandas lib,D-tale(viz).              ConnectorX(load df) efficiently,
PoweBI in jupyter notebooks,https://lnkd.in/eCbt8p6,
Great new resource for nlp,https://buff.ly/3wGowd5,
Car traffic visualisation ,https://paralleldomain.com/data-visualizer/,
Lots of DL books,R-5.py (site),
Fb research lib for sentiment analysis ,fastText,
Course for Deep learning,d2l.ai,
Google lib for DL for clear code & speed,GitHub - google/trax: Trax — Deep Learning with Clear Code and Speed,
Hugging face course,https://hf.co/course,
Handwriting format painter by Meta,Text style brush(fb),
Good github repos to follow,Deliprao.com,
Good github repos to follow,Bipinkrishnan.github.io,
Viz the layers of cnn with attributes ,Netron.app,
lowcode capabilities,https://buff.ly/3jaKxNE,
Mask rcnn detectron,https://ai.facebook.com/blog/advancing-computer-vision-research-with-new-detectron2-mask-r-cnn-baselines/,
Ml prepare for interviews ,Huyenchip.com,
MyOcean viewer,Marine.copernicus.eu,
Gds lib viz neo4j,https://t.co/O5rPu1wu6l,
Exploratory Data Analysis libraries,"Tidyverse, pandastutor.com",
Data engineer tools n technologies,https://hubs.la/Q010zhhL0,
All courses python ,Freecodecamp.com,
Live preview of website when it is not hosted,http://aka.ms/live-preview,
Curated articles and research papers,https://t.co/fJHkqngM7B,
Lstm in layman’s language ,https://render.githubusercontent.com/view/ipynb?color_mode=auto&commit=8be580737ee0cc17746a5ed68283150d489b3dc4&enc_url=68747470733a2f2f7261772e67697468756275736572636f6e74656e742e636f6d2f6661737461692f66617374626f6f6b2f386265353830373337656530636331373734366135656436383238333135306434383962336463342f31325f6e6c705f646976652e6970796e62&nwo=fastai%2Ffastbook&path=12_nlp_dive.ipynb&repository_id=243838973&repository_type=Repository#LSTM,
Free data science books ,https://hubs.la/H0-fxnm0,
Full course on python ml,https://t.co/CTBEV5FTAn,
Dynamic web Paige - pd comprehensive print,https://github.dev/dynamicwebpaige/nanowrimo-2021,
Step by step spark,https://t.co/GaPiaVJSHY,
Pothole detection ,http://deeplearning.ge.imati.cnr.it/genova-5G/video/VID_20211031_162912.mp4-inference.mp4,
Curated articles ,https://hubs.la/H0-P2jB0,
Zenml all under one roof,https://github.com/zenml-io/zenml,
All resources of ml pipeline ,https://hubs.la/H0_1vgV0,
Data generators keras ,https://buff.ly/3omoLYr,
Mike python twitter,https://t.co/BEgOc250Ps,
Build sentiment on twitter live,https://hubs.la/H0-YKZ40,
NLP by Sebastian Raschka,Lightning AI,
Beautiful viz with matplotlib ,https://www.labri.fr/perso/nrougier/,
Small python projects ,https://t.co/9SjuQdcb70,
Function cheat sheet ,https://hubs.la/H0_CHCH0,
Matt Harrison book,https://t.co/qKmogiskXK,
All string methods ,https://hubs.la/H0_Ns0w0,
ML log experiments to track using its UI,Home | AimStack,
DL course good one,https://uvadlc.github.io/,
DL cloud aws ,https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp/09-serverless,
Datasets-5000,GitHub.Dev/huggingface ,
Reinforcements learning ,https://hubs.ly/Q010RRSc0,
Lib to check where my code is taking lot of time,Home - pyinstrument 4.5.1 documentation,
CuDNN install,https://t.co/qKL25SeHaL,
All evaluation metrics ,https://t.co/bcGZigzUZd,
Exciting viz,http://upset.app,
Matplotlib entire tutorial ,https://github.com/frankwwu/matplotlib-cheatbook,
Read papers with 3D viz,https://www.connectedpapers.com/,
Open source courses,Dair.ai,
DL Course by Yann LeCunn,https://cds.nyu.edu/deep-learning/,
All ml concepts visualised ,https://seeing-theory.brown.edu/compound-probability/index.html,
Matplotlib animations,https://www.kaggle.com/subinium/matplotlib-animation-techniques,
The sequence ,https://fullstackdeeplearning.com/spring2021/,
All courses combined ,https://bit.ly/3f6pusC,
Annotated papers,https://github.com/synercys/annotated_latex_equations,
Boruta shap feature selection ,https://towardsdatascience.com/boruta-shap-an-amazing-tool-for-feature-selection-every-data-scientist-should-know-33a5f01285c0,
Ml ops,https://stateoftheartconference.ai/workshop,
Good for GitHub profile ,https://medium.com/coders-mojo/day-1-day-60-quick-recap-of-60-days-of-data-science-and-ml-6fc021643d1,
Ml prod issues,https://docs.google.com/document/d/14uX2m9q7BUn_mgnM3h6if-s-r0MZrvDb-ZHNjgA1Uyo/edit?usp=sharing,
Best maths resources for ml,https://pabloinsente.github.io/intro-linear-algebra,
Elvis full nlp course,https://www.youtube.com/playlist?list=PLoROMvodv4rOSH4v6133s9LFPRHjEmbmJ,
Data engineering bootcamp ,https://github.com/DataTalksClub/data-engineering-zoomcamp,
